Autoenc1,Autoenc2,Churn,Cluster
7.3836317,1.8840528,0,0
5.4003043,1.0479808,0,0
7.211366,1.4955559,0,0
8.746991,0.0,0,0
9.154459,2.6305454,0,0
8.091963,2.1826496,0,0
8.800294,2.481247,0,0
9.119043,2.6156156,0,0
8.446129,2.3319483,0,0
5.75447,1.1972795,0,0
8.147958,0.0,0,0
8.6586275,2.4215274,0,0
14.0896225,0.0,0,0
11.982365,0.0,0,0
14.339329,0.0,0,0
9.04821,2.5857558,0,0
9.11884,1.8051305,0,0
9.119043,2.6156156,0,0
8.764877,2.4663172,0,0
9.083424,1.7902007,0,0
10.665606,0.0,0,0
9.508423,1.9693589,0,0
9.508423,1.9693589,0,0
8.94196,2.5409663,0,0
8.977377,2.5558963,0,0
8.729461,2.4513872,0,0
9.154459,2.6305454,0,0
8.835711,2.4961767,0,0
8.694044,2.4364574,0,0
8.446129,2.3319483,0,0
9.012794,2.570826,0,0
7.985713,2.1378603,0,0
8.800294,2.481247,0,0
9.119043,2.6156156,0,0
10.2264805,0.0,0,0
9.04821,2.5857558,0,0
9.083626,2.6006856,0,0
9.508423,1.9693589,0,0
8.198213,2.2274394,0,0
9.154459,2.6305454,0,0
7.666964,2.0034914,0,0
8.906544,2.5260365,0,0
9.452216,0.0,0,0
8.552378,2.3767378,0,0
7.7005343,0.69441795,0,0
8.233629,2.2423692,0,0
8.906544,2.5260365,0,0
8.362113,0.0,0,0
8.516962,2.361808,0,0
8.694044,2.4364574,0,0
8.091963,2.1826496,0,0
7.80863,2.063211,0,0
8.906544,2.5260365,0,0
8.6586275,2.4215274,0,0
7.100299,1.7646141,0,0
8.375296,2.3020887,0,0
8.552378,2.3767378,0,0
8.198213,2.2274394,0,0
8.977377,2.5558963,0,0
8.127379,2.1975796,0,0
8.729461,2.4513872,0,0
8.871127,2.5111065,0,0
7.7195377,1.2146063,0,0
6.639884,1.5705256,0,0
7.4898815,1.9288423,0,0
8.587794,2.3916678,0,0
9.154459,2.6305454,0,0
9.04821,2.5857558,0,0
9.154459,2.6305454,0,0
8.410711,2.3170185,0,0
9.119043,2.6156156,0,0
8.906544,2.5260365,0,0
7.6315475,1.9885616,0,0
9.473006,1.9544291,0,0
8.623211,2.4065976,0,0
0.0,0.0,1,3
8.517174,0.7343111,0,0
8.906544,2.5260365,0,0
8.162796,2.2125096,0,0
9.316603,0.0,0,0
8.516962,2.361808,0,0
9.04821,2.5857558,0,0
8.694044,2.4364574,0,0
9.012794,2.570826,0,0
8.694044,2.4364574,0,0
0.0,0.0,1,3
9.22509,1.84992,0,0
7.596131,1.9736319,0,0
9.04821,2.5857558,0,0
9.154459,2.6305454,0,0
10.465544,0.0,0,0
8.587794,2.3916678,0,0
9.04821,2.5857558,0,0
8.091963,2.1826496,0,0
9.119043,2.6156156,0,0
11.231504,0.0,0,0
7.649465,0.7382469,0,0
9.012794,2.570826,0,0
8.800294,2.481247,0,0
8.94196,2.5409663,0,0
0.0,0.0,1,3
7.985713,2.1378603,0,0
5.7190533,1.1823492,0,0
9.083626,2.6006856,0,0
7.3836317,1.8840528,0,0
8.906544,2.5260365,0,0
7.80863,2.063211,0,0
0.0,0.0,1,3
10.621046,0.0,0,0
11.433561,0.0,0,0
8.056546,2.1677198,0,0
8.304462,2.272229,0,0
0.0,0.0,1,3
9.119043,2.6156156,0,0
8.446129,2.3319483,0,0
8.694044,2.4364574,0,0
9.154459,2.6305454,0,0
7.985713,2.1378603,0,0
9.083626,2.6006856,0,0
9.154459,2.6305454,0,0
9.154459,2.6305454,0,0
9.154459,2.6305454,0,0
8.800294,2.481247,0,0
8.233629,2.2423692,0,0
8.198213,2.2274394,0,0
9.119043,2.6156156,0,0
8.800294,2.481247,0,0
8.233629,2.2423692,0,0
