PC1,PC2,Cluster
-398.2036386034939,-0.4542293276524045,2
-1290.8551397651695,-7.978013371515475,2
242.42977540639825,-33.96707224943626,0
-1218.82980324391,-7.388081358196574,2
-1273.741070623224,-2.3172444975886384,2
-679.4982899299354,-5.944714065939504,2
1329.917354508986,-20.2611979651479,0
-655.5570072056798,1.4049201156554396,2
-908.8499872932382,-11.451786741637058,2
806.9981142577501,-12.033098118566198,0
-983.3952597302392,3.995497090058903,2
-1296.8539930855686,-7.860738735057284,2
-1108.7335217819118,-3.545762982097473,2
-1161.6842780614484,-0.5117297417952109,2
-1209.8706319041278,-9.561804107911367,2
4160.225611809902,21.313914248272027,3
-1070.858109806903,-10.281920979402011,2
-1323.8097226558548,-5.33510941568202,2
-1323.868382965403,-8.331694754588543,2
-864.9476849530234,8.67375711411391,2
-184.66625944803764,-0.6333498668817494,2
-1005.8807490314884,-3.5587086425569296,2
-177.3632280887132,-10.76860561716601,2
-746.7832044115842,-9.625063354137945,2
-1228.7496771769622,-3.197120091304771,2
-1022.3282796307344,-9.23254706230838,2
-1080.817090421009,-8.088672783127457,2
-1188.3356368448876,-7.984455362678272,2
-806.340691997973,-3.464091724416921,2
-1282.8371162237556,-7.135565008273471,2
-1030.828867764572,-4.070090257731889,2
-1323.868382965403,-8.331694754588543,2
-85.61546548831416,-24.55383062141965,2
-1098.2688566300883,-3.7504018509814143,2
1011.957535905344,-0.0535251239470184,0
-1310.8317620262353,-6.58813730376679,2
-1101.8912880724447,-11.67352812824986,2
-1088.7475538549209,4.057354805834564,2
-1323.868382965403,-8.331694754588543,2
693.0102480200153,-42.77892557272759,0
-762.8416538300752,11.673121278602922,2
-1165.6341984226,-6.429927624010439,2
-1020.1033666686236,-6.2783071577615175,2
-1298.834056049595,-6.8227171981795545,2
-1281.85686160035,-8.154015184122537,2
-216.70603946868323,-12.996923074424206,2
-1323.868382965403,-8.331694754588543,2
-1051.26407218385,-5.668893834705814,2
-960.742274395318,-5.440714302791197,2
-1323.868382965403,-8.331694754588543,2
-452.8394349346205,-15.373632803003115,2
-543.9784582834724,-21.585235485584818,2
-286.0278031341745,-26.629883686096854,2
-750.9193134820982,-16.538887669933793,2
-92.34259221088382,-5.436628637581123,2
-1007.066746055395,-4.534765437526445,2
-449.9274696326488,-6.4373910730672925,2
-1323.868382965403,-8.331694754588543,2
-1307.8127821435537,-5.647923119897804,2
-708.6340447551216,-2.3771790243475337,2
-1062.0120162146595,-5.458703873922827,2
-707.711990156648,-0.3967365943328129,2
-1323.868382965403,-8.331694754588543,2
-1206.293087179935,-5.634772772703302,2
-821.8674880670233,3.834274169565788,2
-414.2107858509471,7.852762043307523,2
-91.15438114992251,-9.456838734164874,2
-856.8599327632717,-12.468536880115716,2
-586.4125299637186,-0.7704522551119037,2
