PC1,PC2,Cluster
-216.70603946851972,-12.996923074435518,0
-1323.8683829652398,-8.331694754597859,1
-1051.2640721836865,-5.668893834718678,1
-960.7422743951544,-5.440714302794231,1
-1323.8683829652398,-8.331694754597859,1
-452.8394349344569,-15.373632803005968,0
-543.9784582833087,-21.585235485584057,0
-286.0278031340106,-26.62988368609601,0
-750.9193134819345,-16.538887669928215,1
-92.34259221072011,-5.436628637586239,0
-1007.0667460552312,-4.534765437529496,1
-449.9274696324852,-6.437391073068892,0
-1323.8683829652398,-8.331694754597859,1
-1307.81278214339,-5.64792311989242,1
-708.6340447549582,-2.3771790243541204,0
-1062.012016214496,-5.4587038739356935,1
-707.7119901564844,-0.396736594329603,0
-1323.8683829652398,-8.331694754597859,1
-1206.2930871797716,-5.634772772709502,1
-821.8674880668598,3.834274169557341,1
-414.2107858507836,7.852762043293756,0
-91.1543811497586,-9.456838734168166,0
-856.8599327631081,-12.46853688012179,1
-586.4125299635552,-0.7704522551202668,0
-1194.6779660608524,0.1335385416279351,1
-1260.802216936448,-5.56799879694834,1
-1198.8140761862012,-6.78033984112402,1
-639.470399989174,-11.723762188370172,0
-658.1519224122792,-2.3651962883773976,0
-836.168319260488,-2.8807561270495725,1
-886.4724724519654,-0.897733777917793,1
-1268.839794333624,-7.409329579357193,1
-1323.8683829652398,-8.331694754597859,1
-835.186485920359,10.090220101816838,1
-916.2116786774504,-4.313101225442241,1
-657.8784402290047,-15.360718989334664,0
-917.8258317256548,4.7116520283471175,1
-1160.551837498094,-6.529328103995979,1
-1039.3598920064546,2.0922528192881806,1
-1323.8683829652398,-8.331694754597859,1
-1323.8683829652398,-8.331694754597859,1
-1063.7812349680723,-6.42334893098905,1
166.49269170250454,-17.479778788602196,0
-396.21990550801695,-7.099178011139125,0
-477.2326547276869,26.08595529726331,0
2407.455657553506,25.628560483167988,2
705.6985472724673,10.027506241341928,2
1783.0739148416883,4.04779425798556,2
-1323.8485600092647,-7.319314006483886,1
3135.135164236297,-64.5450601186956,3
-952.723981598785,-4.584761422107576,1
-1281.8370379650182,-7.14159902793028,1
-969.1919265053366,5.729725989382855,1
2233.9607409410155,19.02911269787797,2
1440.7456357708124,7.468674279938037,2
1802.8064238160537,-54.47696033390477,2
-483.4270289814304,-3.6494919666568544,0
866.7605298404678,12.30704551001274,2
1575.6332959468978,-7.86637123178078,2
